n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
36,12,0.3333333333333333,1,52,1248,1296,67,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,68,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,69,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,70,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,71,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,72,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,73,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,74,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,75,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,76,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,77,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,78,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,79,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,80,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,81,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,82,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,83,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,84,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,85,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,86,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,87,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,88,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,89,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,90,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,91,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,92,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,93,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,94,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,95,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,96,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,97,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,98,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,99,pkp_derived,1248,1296,0,48,0,0
48,16,0.3333333333333333,1,70,2240,2304,0,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,1,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,2,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,3,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,4,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,5,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,6,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,7,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,8,pkp_derived,2240,2304,0,64,0,0
48,16,0.3333333333333333,1,70,2240,2304,9,pkp_derived,2240,2304,0,64,0,0
